api8,gas_mcf_d,oil_bbl_d
47535808,0.0,0.0
47538173,211.05,34.33
47533243,0.0,0.0
47537174,0.0,0.0
47537359,0.0,0.0
47537367,0.0,0.0
47537211,0.0,0.0
47536925,0.0,0.0
47536529,0.0,0.0
47537772,0.0,0.0
47537807,0.0,0.0
47537808,0.0,0.0
47537809,0.0,0.0
47537773,0.0,0.0
47537810,0.0,0.0
47537811,0.0,0.0
47537812,0.0,0.0
47537622,0.0,0.0
47533242,0.0,0.0
47533583,0.05,3.12
47537944,9.96,9.16
47532481,0.08,1.08
47501622,0.21,1.55
47532803,0.23,1.14
47533281,0.03,0.26
47530085,0.48,0.81
47537315,0.0,0.0
47538026,150.83,10.33
47538027,337.36,19.01
47537278,134.52,18.14
47537274,182.1,28.81
47537275,119.6,28.68
47538021,0.0,0.0
47537370,182.0,23.97
47537188,106.45,13.72
47538029,318.61,35.69
47538028,185.15,26.23
47537506,28.59,3.95
47537016,0.0,0.0
47537951,0.0,0.0
47537952,0.0,0.0
47538022,0.0,0.0
47538246,835.4,36.23
47538292,469.94,45.6
47536868,0.0,0.0
47537744,59.63,3.92
47537368,0.0,0.0
47537489,442.56,84.74
47538236,502.02,39.95
47537507,88.22,8.34
47538272,594.69,49.7
47538235,655.29,58.41
47538186,875.29,68.09
47537366,0.0,0.0
47538263,659.57,41.95
47538291,551.42,44.14
47538187,593.14,66.91
47538120,621.41,56.2
47537655,76.92,85.77
47537654,56.67,16.88
47537652,0.0,0.0
47537658,54.05,20.6
47537230,0.0,0.0
47537648,0.0,0.0
47537777,0.0,0.0
47537784,6.0,5.29
47537389,0.0,0.0
47538069,0.0,0.0
47538281,600.97,59.93
47538288,582.92,56.44
47538289,990.58,39.89
47538264,219.45,73.91
47538286,602.96,54.98
47533444,0.0,0.0
47538388,250.57,44.09
47538460,529.44,51.35
47538461,517.19,37.63
47538462,434.32,31.86
47538387,153.52,33.37
47538389,123.31,32.14
47538386,242.55,38.36
47538339,464.98,45.82
47538340,501.28,55.34
47538459,467.28,34.89
47538552,109.88,75.54
47538454,517.27,42.49
47538455,365.21,40.32
47538456,602.12,35.62
47538457,725.85,57.49
47538341,461.87,38.59
47538336,520.27,44.64
47538335,467.88,38.23
47538331,203.38,11.65
47538290,450.48,27.56
47538463,633.76,35.06
47538337,392.66,38.51
47538338,443.31,41.47
47538530,396.06,76.1
47538531,719.1,85.57
47538532,414.6,66.26
47538529,142.26,36.29
